index,launch_datetime,rocket,rocket_state,flight_number,launch_site,launch_site_state,lsp,lsp_state,payload,payload_state,payload_perator,payload_orbit,payload_function,payload_decay,payload_outcome,year,table_n,flight_n
15,1968-03-05 00:00:00,Scout-B,United States,,Wallops,United States,,,Explorer 37 (Solrad 9),United States,NASA,Low Earth,Research,In orbit,Successful,1968,3,5977
18,1968-03-06 00:00:00,Kosmos 2,Soviet Union,,Kapustin Yar,Soviet Union,,,(DS-U1-Ya #1),Soviet Union,,Low Earth Orbit,Reconnaissance,In orbit,Failure,1968,3,5978
21,1968-03-13 00:00:00,Titan IIIB Agena-D,United States,,Vandenberg SLC-4W,United States,,,OPS 5057 KH-8 4312,United States,USAF,Low Earth,Reconnaissance,In orbit,Successful,1968,3,5979
24,1968-03-14 00:00:00,Vostok-2M,Soviet Union,,"Site 41/1, Plesetsk",Soviet Union,,,Kosmos 206 (Meteor-1 #9),Soviet Union,,Low Earth Orbit,Meteorology,In orbit,Successful,1968,3,5980
27,1968-03-14 00:00:00,Thorad-SLV2G Agena-D,United States,,Vandenberg SLC-1E,United States,,,OPS 4849 KH-4A 1046,United States,CIA,Low Earth,Reconnaissance,In orbit,Successful,1968,3,5981
27,1968-03-14 00:00:00,Thorad-SLV2G Agena-D,United States,,Vandenberg SLC-1E,United States,,,OPS 7076 Lampan 1 / Sampan 2,United States,USAF,Low Earth,ELINT,In orbit,Successful,1968,3,5981
31,1968-03-16 00:00:00,Voskhod,Soviet Union,,"Site 41/1, Plesetsk",Soviet Union,,,Kosmos 207 (Zenit-4 #39),Soviet Union,GRU,Low Earth Orbit,Reconnaissance,In orbit,Successful,1968,3,5982
34,1968-03-21 00:00:00,Voskhod,Soviet Union,,"Site 1/5, Baikonur",Soviet Union,,,"Kosmos 208 (Zenit-2M #1,Gektor #1) & Nauka-1KS 1L",Soviet Union,GRU,Low Earth Orbit,Reconnaissance,In orbit,Successful,1968,3,5983
37,1968-03-22 00:00:00,Tsyklon-2A,Soviet Union,,"Site 90/19, Baikonur",Soviet Union,,,Kosmos 209 (US-AO #4),Soviet Union,,Low Earth Orbit,,In orbit,Successful,1968,3,5984
0,1968-04-03 00:00:00,Voskhod,Soviet Union,,"Site 41/1, Plesetsk",Soviet Union,,,Kosmos 210 (Zenit-2 #60),Soviet Union,,Low Earth Orbit,Reconnaissance,In orbit,Successful,1968,4,5985
3,1968-04-04 12:00:02,Saturn V (C-5),United States,,"LC-39A, Kennedy",United States,NASA,United States,Apollo 6,United States,NASA,LEO,Test CSM heat shield at Lunar return speeds. Test S-IVB re-ignition in LEO.,4 April 1968 21:57:26,Partial failure,1968,4,5986
7,1968-04-06 00:00:00,Atlas F,United States,,Vandenberg,United States,,,OV1 13,United States,USAF,Low Earth,,In orbit,Successful,1968,4,5987
7,1968-04-06 00:00:00,Atlas F,United States,,Vandenberg,United States,,,OV1 14,United States,USAF,Low Earth,,In orbit,Successful,1968,4,5987
11,1968-04-07 00:00:00,Molniya-M / Blok L,Soviet Union,,"Site 1/5, Baikonur",Soviet Union,,,Luna 14,Soviet Union,,Selenocentric,Lunar Orbiter,In orbit,Successful,1968,4,5988
14,1968-04-09 00:00:00,Kosmos 2,Soviet Union,,Plesetsk Site 133/1,Soviet Union,,,Kosmos 211 (DS-P1-Yu #12),Soviet Union,,Low Earth Orbit,Calibration,In orbit,Successful,1968,4,5989
17,1968-04-14 00:00:00,Soyuz,Soviet Union,,"Site 31/6, Baikonur",Soviet Union,,,Kosmos 212 (Soyuz Test #5),Soviet Union,,Low Earth Orbit,,In orbit,Successful,1968,4,5990
20,1968-04-15 00:00:00,Soyuz,Soviet Union,,"Site 1/5, Baikonur",Soviet Union,,,Kosmos 213 (Soyuz Test #6),Soviet Union,,Low Earth Orbit,,In orbit,Successful,1968,4,5991
23,1968-04-17 00:00:00,Titan IIIB Agena-D,United States,,Vandenberg SLC-4W,United States,,,OPS 5105 KH-8 4313,United States,USAF,Low Earth,Reconnaissance,In orbit,Successful,1968,4,5992
26,1968-04-18 00:00:00,Voskhod,Soviet Union,,"Site 41/1, Plesetsk",Soviet Union,,,Kosmos 214 (Zenit-4 #40),Soviet Union,GRU,Low Earth Orbit,Reconnaissance,In orbit,Successful,1968,4,5993
29,1968-04-18 00:00:00,Kosmos 2,Soviet Union,,Kapustin Yar,Soviet Union,,,Kosmos 215 (DS-U1-A #1),Soviet Union,,Low Earth Orbit,Calibration,In orbit,Successful,1968,4,5994
32,1968-04-20 00:00:00,Voskhod,Soviet Union,,"Site 31/6, Baikonur",Soviet Union,,,Kosmos 216 (Zenit-2 #61),Soviet Union,,Low Earth Orbit,Reconnaissance,In orbit,Successful,1968,4,5995
35,1968-04-21 00:00:00,Molniya-M / Blok ML,Soviet Union,,"Site 1/5, Baikonur",Soviet Union,,,Molniya-1 08,Soviet Union,,Molniya,Communications,In orbit,Successful,1968,4,5996
38,1968-04-22 00:00:00,Proton K / Blok D,Soviet Union,,"Pad 81/23, Baikonur",Soviet Union,MOM,,Zond (L1 7),Soviet Union,MOM,Lunar Free-return,Prototype Soyuz 7K-L1P/Zond,In orbit,Failure,1968,4,5997
41,1968-04-24 00:00:00,Tsyklon-2A,Soviet Union,,"Site 90/19, Baikonur",Soviet Union,,,Kosmos 217 (I2M #1),Soviet Union,,Low Earth Orbit,,In orbit,Successful,1968,4,5998
