id,mechanics
1070,Area Majority / Influence
1099,Memory
1107,Hand Management
1107,Team-Based Game
1107,Trick-taking
1107,Open Drafting
1111,Team-Based Game
1111,Communication Limits
1117,Simultaneous Action Selection
1117,Set Collection
1117,Memory
1117,Auction: Turn Order Until Pass
1117,Betting and Bluffing
1117,Hand Management
1120,Roll / Spin and Move
1125,Loans
1125,Area Majority / Influence
1125,Auction/Bidding
1125,Dice Rolling
1150,Dice Rolling
1150,Grid Movement
1150,Action Points
1150,Square Grid
1163,Betting and Bluffing
1163,Dice Rolling
1190,Tile Placement
1197,Pattern Recognition
1198,Real-Time
1198,Pattern Recognition
1198,Speed Matching
1218,Modular Board
1218,Map Deformation
1218,Pattern Building
1218,Network and Route Building
1218,Pattern Recognition
1219,Network and Route Building
1219,Modular Board
1219,Map Deformation
1219,Point to Point Movement
1219,Square Grid
1219,Slide/Push
1231,Stacking and Balancing
1231,Auction/Bidding
1234,Hand Management
1234,Storytelling
1234,Interrupts
1234,Voting
1245,Tile Placement
1258,Set Collection
1258,Melding and Splaying
1261,Square Grid
1261,Grid Coverage
1261,Tile Placement
1269,Hand Management
1270,Modular Board
1270,Variable Player Powers
1270,Area Majority / Influence
1270,Hand Management
1271,Trick-taking
1275,Role Playing
1275,Roll / Spin and Move
1275,Paper-and-Pencil
1293,Paper-and-Pencil
1293,Pattern Recognition
1293,Dice Rolling
1294,Grid Movement
1294,Deduction
1294,Square Grid
1294,Memory
1294,Roll / Spin and Move
1295,Pattern Building
1317,Trick-taking
1333,Hand Management
1333,Player Elimination
1334,Tile Placement
1334,Modular Board
1334,Area Majority / Influence
1339,Area Movement
1339,Critical Hits and Failures
1339,Role Playing
1339,Dice Rolling
1339,Grid Movement
1339,Events
1345,Negotiation
1345,Grid Movement
1345,Dice Rolling
1345,Bribery
1345,Auction/Bidding
1345,Pick-up and Deliver
1353,Memory
1353,Communication Limits
1353,Team-Based Game
1353,Acting
1381,Set Collection
1381,Roll / Spin and Move
1382,Roll / Spin and Move
1382,Betting and Bluffing
1383,Take That
1383,Memory
1383,Player Elimination
1403,Hand Management
1403,Player Elimination
1403,Simultaneous Action Selection
1406,Income
1406,Loans
1406,Ownership
1406,Auction/Bidding
1406,Lose a Turn
1406,Auction: English
1410,Roll / Spin and Move
1410,Race
1412,Set Collection
1419,Pattern Building
1419,Square Grid
1419,Hand Management
1430,Hidden Movement
1430,Hexagon Grid
1430,Line of Sight
1430,Dice Rolling
1430,Grid Movement
1430,Area Movement
1439,Pattern Building
1439,Area Movement
1447,Network and Route Building
1447,Stock Holding
1447,Victory Points as a Resource
1447,Tile Placement
1452,Set Collection
1459,Dice Rolling
1459,Push Your Luck
1465,Hand Management
1465,Predictive Bid
1465,Trick-taking
1465,Betting and Bluffing
1472,Hand Management
1472,Set Collection
1475,Paper-and-Pencil
1475,Variable Player Powers
1475,Track Movement
1475,Dice Rolling
1475,Roll / Spin and Move
1499,Hexagon Grid
1499,Delayed Purchase
1499,Dice Rolling
1499,Grid Movement
1499,Movement Points
1499,Area Movement
1502,Auction/Bidding
1502,Take That
1502,Roll / Spin and Move
1506,Ratio / Combat Results Table
1506,Hexagon Grid
1506,Movement Points
1506,Grid Movement
1506,Dice Rolling
1506,Scenario / Mission / Campaign Game
1515,Tile Placement
1515,Hand Management
1515,Layering
1540,Simulation
1540,Variable Player Powers
1540,Movement Points
1540,Role Playing
1540,Dice Rolling
1540,Hexagon Grid
1544,Voting
1544,Paper-and-Pencil
1561,Paper-and-Pencil
1561,Memory
1561,Roll / Spin and Move
1597,Tile Placement
1597,Network and Route Building
1597,Race
1597,Point to Point Movement
1608,Hexagon Grid
1608,Line of Sight
1608,Events
1608,Action Points
1608,Grid Movement
1608,Dice Rolling
1613,Roll / Spin and Move
1613,Race
1613,Area Movement
1690,Dice Rolling
1690,Set Collection
1692,Set Collection
1692,Simultaneous Action Selection
1692,Player Elimination
1744,Speed Matching
1744,Pattern Recognition
1751,Semi-Cooperative Game
1751,Roll / Spin and Move
1768,Hand Management
1768,Race
1768,Roll / Spin and Move
1797,Trading
1797,Roll / Spin and Move
1797,Dice Rolling
1797,Open Drafting
1797,Auction/Bidding
1799,Unknown
1822,Dice Rolling
1822,Point to Point Movement
1822,Campaign / Battle Card Driven
1822,Action/Event
1897,Trading
1897,Hexagon Grid
1899,Roll / Spin and Move
1915,Variable Player Powers
1915,Area Movement
1915,Dice Rolling
1915,Hand Management
1917,Secret Unit Deployment
1917,Grid Movement
1917,Square Grid
1917,Memory
1927,Variable Player Powers
1927,Take That
1927,Hand Management
1933,Map Deformation
1933,Roll / Spin and Move
1942,Trick-taking
1942,Hand Management
1950,Roll / Spin and Move
1961,Player Elimination
1961,Hand Management
1986,Player Elimination
1986,Set Collection
1986,Roll / Spin and Move
1986,Deduction
2001,Roll / Spin and Move
2079,Hexagon Grid
2079,Dice Rolling
2079,Scenario / Mission / Campaign Game
2079,Ratio / Combat Results Table
2079,Movement Points
2079,Grid Movement
2087,Dice Rolling
2087,Memory
2087,Roll / Spin and Move
2114,Push Your Luck
2122,Deck Construction
2122,Player Elimination
2122,Negotiation
2122,Hand Management
2122,Acting
2122,Multi-Use Cards
2165,Open Drafting
2165,Variable Player Powers
2165,Hand Management
2165,Deck Construction
2223,Matching
2223,Lose a Turn
2223,Hand Management
