id,categories
1245,Abstract Strategy
1258,Card Game
1261,Post-Napoleonic
1261,Arabian
1261,Abstract Strategy
1261,City Building
1269,Card Game
1270,Science Fiction
1270,Card Game
1270,Movies / TV / Radio theme
1270,Collectible Components
1271,Card Game
1275,Novel-based
1275,Murder/Mystery
1275,Deduction
1293,Word Game
1293,Dice
1293,Real-time
1294,Deduction
1294,Murder/Mystery
1294,Movies / TV / Radio theme
1295,Abstract Strategy
1317,Card Game
1333,Number
1333,Card Game
1334,Nautical
1334,Exploration
1339,Adventure
1339,Fantasy
1339,Fighting
1339,Exploration
1345,Renaissance
1345,Negotiation
1353,Humor
1353,Party Game
1381,Video Game Theme
1381,Movies / TV / Radio theme
1381,Adventure
1381,Fantasy
1381,Card Game
1381,Children's Game
1382,Sports
1382,Racing
1382,Animals
1383,Party Game
1403,Card Game
1406,Economic
1406,Negotiation
1410,Children's Game
1412,Card Game
1419,Abstract Strategy
1430,Ancient
1430,Wargame
1439,Children's Game
1439,Action / Dexterity
1439,Real-time
1439,Animals
1447,Transportation
1447,Trains
1447,Economic
1447,Post-Napoleonic
1452,Card Game
1459,Dice
1465,Card Game
1465,Fantasy
1472,Card Game
1475,Economic
1499,Wargame
1499,World War II
1499,Nautical
1502,Economic
1506,Renaissance
1506,Economic
1506,Exploration
1506,Pike and Shot
1506,Political
1506,Religious
1515,Word Game
1540,Fighting
1540,Miniatures
1540,Wargame
1540,Science Fiction
1540,Collectible Components
1544,Trivia
1544,Word Game
1544,Party Game
1544,Bluffing
1561,Murder/Mystery
1561,Deduction
1597,Trains
1597,Transportation
1608,World War II
1608,Wargame
1613,Horror
1613,Children's Game
1613,Action / Dexterity
1690,Animals
1690,Humor
1690,Card Game
1690,Print & Play
1690,Economic
1692,Children's Game
1692,Card Game
1692,Animals
1692,Action / Dexterity
1692,Real-time
1744,Action / Dexterity
1744,Party Game
1744,Card Game
1744,Fantasy
1744,Real-time
1744,Children's Game
1751,Racing
1751,Movies / TV / Radio theme
1751,Dice
1751,Adventure
1751,Animals
1751,Children's Game
1768,Adventure
1768,Action / Dexterity
1768,Children's Game
1797,Negotiation
1797,Economic
1797,Dice
1799,Collectible Components
1799,Card Game
1799,Fantasy
1822,Age of Reason
1822,American Indian Wars
1822,Wargame
1897,Negotiation
1897,Science Fiction
1897,Space Exploration
1897,Exploration
1899,Murder/Mystery
1899,Deduction
1899,Bluffing
1915,Exploration
1915,Fantasy
1915,Adventure
1915,Card Game
1915,Collectible Components
1915,Fighting
1917,Memory
1917,Deduction
1917,Bluffing
1917,Abstract Strategy
1917,Napoleonic
1927,Humor
1927,Fighting
1927,Fantasy
1927,Card Game
1933,Children's Game
1933,Dice
1933,Adventure
1933,Fantasy
1942,Card Game
1950,Murder/Mystery
1950,Deduction
1961,Card Game
1986,Bluffing
1986,Spies/Secret Agents
2001,Trivia
2001,Children's Game
2001,Party Game
2079,Modern Warfare
2079,Wargame
2087,Bluffing
2087,Deduction
2087,Children's Game
2087,Memory
2114,Children's Game
2114,Card Game
2114,Animals
2122,Horror
2122,Political
2122,Fighting
2122,Collectible Components
2122,Card Game
2122,Bluffing
2165,Fighting
2165,Video Game Theme
2165,Card Game
2165,Collectible Components
2165,Fantasy
2223,Card Game
