id,subdomain
13166,Children's Games
13230,Children's Games
13308,Family Games
13328,Abstract Games
13367,Children's Games
13436,Children's Games
13507,Party Games
13642,Strategy Games
13780,Strategy Games
13823,Family Games
13823,Strategy Games
13875,Children's Games
13884,Strategy Games
14017,Strategy Games
14017,Family Games
14032,Children's Games
14105,Wargames
14188,Abstract Games
14254,Party Games
14254,Family Games
14940,Abstract Games
14996,Family Games
15062,Thematic Games
15110,Unknown
15126,Wargames
15271,Party Games
15290,Family Games
15318,Strategy Games
15363,Wargames
15363,Thematic Games
15364,Strategy Games
15390,Unknown
15511,Abstract Games
15511,Family Games
15512,Family Games
15712,Family Games
15817,Family Games
15818,Family Games
15954,Strategy Games
15985,Thematic Games
15987,Thematic Games
16035,Party Games
16035,Family Games
16160,Children's Games
16216,Family Games
16267,Family Games
16366,Thematic Games
16369,Children's Games
16395,Abstract Games
16496,Strategy Games
16497,Family Games
16497,Abstract Games
16693,Family Games
16693,Party Games
16747,Family Games
16747,Party Games
16986,Abstract Games
16986,Family Games
16992,Abstract Games
16992,Family Games
17025,Family Games
17027,Family Games
17053,Family Games
17053,Children's Games
17054,Abstract Games
17104,Abstract Games
17104,Family Games
17133,Strategy Games
17162,Children's Games
17223,Thematic Games
17226,Thematic Games
17240,Family Games
17329,Children's Games
17392,Wargames
17405,Strategy Games
17449,Strategy Games
17533,Thematic Games
17534,Abstract Games
17534,Family Games
17557,Children's Games
17557,Family Games
17623,Family Games
17804,Thematic Games
17922,Party Games
17991,Abstract Games
18098,Wargames
18100,Strategy Games
18117,Unknown
18258,Strategy Games
18333,Family Games
18333,Party Games
18485,Strategy Games
18602,Strategy Games
18723,Party Games
18745,Strategy Games
18803,Party Games
18824,Customizable Games
18833,Strategy Games
18866,Family Games
18946,Family Games
19046,Unknown
19056,Abstract Games
19100,Strategy Games
19184,Family Games
19184,Strategy Games
19237,Party Games
19272,Children's Games
19427,Abstract Games
19600,Strategy Games
19616,Unknown
19646,Family Games
19764,Abstract Games
19777,Strategy Games
19803,Abstract Games
19811,Children's Games
19841,Abstract Games
19857,Strategy Games
19996,Children's Games
19996,Family Games
19999,Strategy Games
19999,Abstract Games
20022,Abstract Games
20100,Party Games
20195,Abstract Games
20203,Abstract Games
20437,Strategy Games
20545,Family Games
20545,Party Games
20551,Strategy Games
20750,Party Games
20761,Family Games
20761,Party Games
20782,Abstract Games
20832,Children's Games
20952,Children's Games
20963,Thematic Games
21050,Wargames
21133,Wargames
21133,Thematic Games
21241,Strategy Games
21348,Family Games
21348,Strategy Games
21358,Wargames
21358,Thematic Games
21436,Strategy Games
21441,Strategy Games
21506,Abstract Games
21523,Thematic Games
21550,Abstract Games
21613,Family Games
21632,Strategy Games
21632,Family Games
21763,Strategy Games
21790,Strategy Games
21790,Family Games
21791,Strategy Games
21882,Family Games
21882,Strategy Games
21930,Party Games
21954,Strategy Games
22035,Abstract Games
22141,Family Games
22141,Strategy Games
22192,Thematic Games
22245,Family Games
22245,Strategy Games
22259,Unknown
22278,Family Games
22345,Strategy Games
22348,Party Games
22398,Family Games
22465,Abstract Games
22484,Abstract Games
22497,Family Games
22545,Strategy Games
22825,Wargames
22827,Thematic Games
22827,Strategy Games
22847,Abstract Games
22864,Family Games
22877,Wargames
22889,Party Games
22950,Unknown
23107,Strategy Games
23107,Family Games
23418,Wargames
23540,Strategy Games
23550,Unknown
23656,Children's Games
23658,Children's Games
23686,Party Games
23757,Thematic Games
23757,Family Games
23817,Strategy Games
23818,Unknown
23878,Unknown
23981,Strategy Games
23981,Family Games
24037,Family Games
24068,Party Games
24181,Strategy Games
24304,Family Games
24304,Party Games
24310,Thematic Games
24310,Party Games
24417,Strategy Games
24480,Strategy Games
24508,Abstract Games
24508,Strategy Games
24565,Family Games
24658,Children's Games
24771,Family Games
24773,Strategy Games
24827,Strategy Games
25021,Wargames
25071,Thematic Games
25097,Unknown
25142,Family Games
25196,Abstract Games
25204,Unknown
25213,Party Games
25292,Thematic Games
25314,Family Games
25314,Abstract Games
25491,Family Games
25554,Strategy Games
25568,Strategy Games
25613,Strategy Games
25643,Strategy Games
25669,Abstract Games
25669,Family Games
25674,Strategy Games
25821,Party Games
26054,Party Games
26162,Family Games
26162,Abstract Games
26353,Unknown
26566,Strategy Games
26696,Family Games
26884,Family Games
26990,Strategy Games
26997,Strategy Games
26997,Wargames
27073,Unknown
27162,Family Games
27162,Strategy Games
27172,Abstract Games
27173,Strategy Games
27225,Family Games
27356,Strategy Games
27356,Family Games
27385,Strategy Games
27389,Party Games
27588,Family Games
27613,Family Games
27627,Thematic Games
27708,Strategy Games
27710,Family Games
27746,Strategy Games
27746,Family Games
27833,Strategy Games
28010,Children's Games
28023,Family Games
28025,Family Games
28086,Family Games
28089,Children's Games
28089,Family Games
28121,Unknown
28143,Strategy Games
28181,Wargames
28258,Family Games
28298,Abstract Games
28396,Family Games
28720,Strategy Games
28738,Abstract Games
29073,Abstract Games
29138,Unknown
29140,Family Games
29223,Family Games
29355,Family Games
29368,Thematic Games
29387,Family Games
29387,Party Games
29410,Strategy Games
29603,Wargames
29678,Thematic Games
29773,Family Games
29839,Strategy Games
29937,Strategy Games
30179,Abstract Games
30241,Family Games
30248,Children's Games
30380,Strategy Games
30539,Family Games
30549,Strategy Games
30549,Family Games
30640,Unknown
30645,Strategy Games
30662,Family Games
30804,Thematic Games
30804,Wargames
30869,Family Games
30957,Strategy Games
31016,Party Games
31105,Family Games
31133,Strategy Games
31133,Family Games
31159,Children's Games
31260,Strategy Games
31481,Thematic Games
31497,Strategy Games
31497,Family Games
31506,Family Games
31545,Party Games
31563,Thematic Games
31594,Strategy Games
31624,Strategy Games
31627,Family Games
31730,Strategy Games
31770,Abstract Games
31808,Family Games
31822,Family Games
31999,Abstract Games
32114,Strategy Games
32116,Family Games
32125,Family Games
32341,Party Games
32346,Unknown
32382,Strategy Games
32382,Abstract Games
32405,Children's Games
32405,Family Games
32412,Family Games
32424,Strategy Games
32441,Family Games
32441,Party Games
32484,Wargames
32484,Strategy Games
32674,Customizable Games
33020,Unknown
33088,Family Games
33154,Family Games
33160,Strategy Games
33468,Thematic Games
33604,Party Games
33643,Children's Games
33801,Unknown
34004,Family Games
34084,Family Games
34084,Strategy Games
34119,Thematic Games
34127,Family Games
34166,Family Games
34169,Family Games
34219,Family Games
34219,Strategy Games
34297,Abstract Games
34297,Family Games
34373,Family Games
34375,Family Games
34450,Unknown
34585,Family Games
34615,Family Games
34635,Family Games
34635,Strategy Games
34707,Family Games
34819,Children's Games
34887,Strategy Games
34969,Family Games
34969,Abstract Games
35285,Strategy Games
35350,Wargames
35369,Family Games
35369,Party Games
35488,Family Games
35497,Family Games
35503,Family Games
35505,Family Games
35570,Strategy Games
35572,Strategy Games
35652,Children's Games
35677,Strategy Games
35815,Thematic Games
36218,Strategy Games
36235,Abstract Games
36345,Party Games
36424,Strategy Games
36553,Party Games
36648,Family Games
36648,Children's Games
36745,Family Games
36932,Thematic Games
36946,Strategy Games
37046,Strategy Games
37111,Thematic Games
37120,Family Games
37141,Party Games
37196,Family Games
37198,Wargames
37208,Strategy Games
37296,Family Games
37349,Abstract Games
37349,Family Games
37371,Family Games
37380,Strategy Games
37380,Family Games
37382,Unknown
37400,Family Games
37628,Strategy Games
37728,Party Games
37836,Wargames
37904,Family Games
37904,Thematic Games
37907,Strategy Games
38026,Family Games
38054,Family Games
38159,Party Games
38194,Family Games
38318,Party Games
38386,Strategy Games
38387,Family Games
38391,Party Games
38429,Unknown
38453,Thematic Games
38506,Thematic Games
38506,Strategy Games
38531,Strategy Games
38531,Family Games
38545,Abstract Games
38548,Family Games
38657,Family Games
38713,Party Games
38718,Wargames
38863,Strategy Games
38984,Family Games
38996,Wargames
39088,Family Games
39206,Family Games
39206,Party Games
39242,Strategy Games
39339,Thematic Games
39351,Strategy Games
39463,Thematic Games
39463,Strategy Games
39534,Unknown
39564,Unknown
39683,Strategy Games
39684,Strategy Games
39813,Family Games
39856,Party Games
39862,Unknown
39872,Children's Games
39938,Strategy Games
39953,Strategy Games
39953,Customizable Games
40209,Wargames
40214,Family Games
40214,Strategy Games
40237,Family Games
40354,Wargames
40376,Unknown
40381,Family Games
40393,Abstract Games
40393,Family Games
40398,Family Games
40425,Family Games
40425,Strategy Games
40507,Unknown
40561,Unknown
40628,Family Games
40651,Children's Games
40692,Strategy Games
40692,Family Games
40760,Family Games
40760,Strategy Games
40765,Strategy Games
40769,Family Games
40793,Family Games
40832,Family Games
40834,Strategy Games
40958,Children's Games
40990,Party Games
41002,Strategy Games
41003,Family Games
41010,Children's Games
41066,Wargames
41066,Strategy Games
41114,Party Games
41239,Family Games
41302,Children's Games
41311,Unknown
41429,Wargames
41493,Family Games
41496,Children's Games
41585,Abstract Games
41585,Family Games
41636,Family Games
41749,Strategy Games
41762,Family Games
41833,Family Games
41833,Party Games
41860,Children's Games
41863,Wargames
41916,Family Games
41916,Children's Games
41933,Strategy Games
42052,Strategy Games
42105,Party Games
42206,Children's Games
42206,Family Games
42215,Family Games
42336,Abstract Games
42448,Party Games
42452,Family Games
42452,Strategy Games
42487,Family Games
42776,Thematic Games
42910,Strategy Games
42920,Children's Games
43015,Strategy Games
43041,Unknown
43111,Thematic Games
43111,Strategy Games
43152,Strategy Games
43171,Unknown
43443,Family Games
43528,Strategy Games
43530,Party Games
43570,Strategy Games
43578,Children's Games
43868,Family Games
43868,Thematic Games
44163,Strategy Games
45315,Strategy Games
46158,Party Games
46213,Party Games
46255,Strategy Games
46396,Abstract Games
46396,Family Games
47082,Party Games
47185,Customizable Games
47185,Strategy Games
47218,Family Games
48726,Strategy Games
48979,Party Games
49276,Wargames
50381,Party Games
50458,Children's Games
50750,Strategy Games
50849,Unknown
52461,Thematic Games
52461,Strategy Games
53093,Wargames
53953,Strategy Games
53953,Thematic Games
54043,Family Games
54137,Abstract Games
54138,Strategy Games
54307,Family Games
54307,Strategy Games
54625,Thematic Games
54735,Party Games
54735,Family Games
54998,Strategy Games
55253,Family Games
55427,Strategy Games
55600,Strategy Games
55670,Strategy Games
55690,Thematic Games
55697,Strategy Games
55705,Abstract Games
55829,Wargames
55833,Party Games
